age,income,gender,race,score1,score2,label
22,34683.82,female,groupC,-0.3113594607327033,4.867945386253035,0
58,40939.51,female,groupC,-1.4965704736334486,1.4417791490839753,0
52,58009.03,male,groupA,0.1910639930858544,6.685217127323737,0
40,49642.46,female,groupA,0.11968281125635133,6.264799185031168,0
40,42841.96,male,groupC,-0.47484548365474205,6.014705695153624,0
62,36453.96,male,groupA,0.2980978848158022,5.142352400825906,0
22,34801.83,female,groupC,-0.4334138831475216,0.7971598979950762,0
54,48023.67,male,groupA,-0.832610742532455,1.7776375785358756,0
28,80387.19,female,groupA,1.2340099770734685,2.545453651747768,0
22,58486.8,female,groupC,-0.5444147720746012,4.8341931849229605,0
45,30007.04,female,groupA,-0.09012011405310592,1.9851891367987142,0
68,60608.24,female,groupC,0.6680758029535677,5.735297345442899,0
56,38616.7,female,groupC,-1.0138018561950763,4.193707888790237,0
57,49927.14,female,groupC,0.1848472968149066,5.0603293965705625,0
55,41167.09,female,groupA,-0.9189074234322367,7.632742698523229,0
58,80341.32,male,groupB,0.6054367519614697,2.5744310151322103,0
44,32988.38,female,groupB,2.1668786577950216,5.357488901311228,0
24,54704.18,male,groupC,0.9829760229902378,8.015520268676497,0
61,39720.14,male,groupA,1.2582261141170095,4.3807310020338655,0
41,61082.42,female,groupC,0.5487309609792391,2.178972915038293,0
44,54401.81,male,groupB,1.7389406935972693,4.54571051675223,0
37,68818.29,male,groupB,-2.0242546018691328,6.907843396523175,0
27,60771.77,female,groupC,0.3308057307710363,3.767291166461919,0
66,39596.99,other,groupC,0.9732478466859787,6.383854844371493,0
58,93743.04,female,groupC,-0.2661259432698304,1.4033180234834606,0
51,58331.39,male,groupA,0.6594502490177468,2.318716877397193,0
38,41740.07,female,groupB,-0.54813878975828,5.612292719508355,0
60,53083.11,male,groupB,1.4252267047289409,4.437503627503947,0
46,59462.5,female,groupC,0.01212487845181742,7.445190685868685,0
41,58891.92,male,groupA,-0.23272758401363752,7.0645461115129535,0
41,57440.42,male,groupA,-0.6694904519512274,2.230150699540703,0
29,64497.23,other,groupC,0.09639130722436097,3.4941721447875387,0
22,63022.57,male,groupA,1.5305641119968738,7.151260551579909,0
46,37286.51,female,groupB,1.178406011962292,3.1812546561801502,0
64,81620.81,male,groupC,-0.8168008739810743,4.036772626347303,0
21,79533.32,male,groupA,0.13391412105105543,2.9530112942355813,0
62,62014.47,female,groupA,0.5023275845934145,2.4479606600961885,0
61,50580.45,male,groupB,-0.1775458103587533,3.9023331329033124,0
32,50838.29,male,groupA,0.22555518062092397,4.499755631559068,0
50,45143.53,male,groupA,1.2242042329366452,6.6241319781113175,0
26,47084.24,female,groupC,-0.08112634664855949,6.104688666526081,0
57,17198.23,female,groupB,0.4877852243091149,4.506560560658946,0
54,72953.95,male,groupA,1.1096295088285033,7.420868982735774,0
36,67661.8,female,groupC,0.7752589290183288,5.5632305385550405,0
21,24849.7,male,groupB,0.1908752842010806,3.5013093672876456,0
68,63349.82,female,groupA,1.4666535969529884,3.785223576753805,0
41,49884.28,female,groupA,-0.6906187040787939,3.1264188110221935,0
64,47014.31,male,groupB,-1.615101883086265,2.0843497389006256,0
53,57392.62,male,groupA,0.3717425245279358,6.303918680192316,1
58,23858.19,male,groupA,1.9388337035544756,0.9296958357852576,0
57,49831.26,female,groupA,2.2132527714446577,8.541983114916004,1
28,51192.22,female,groupB,-0.8424764200268854,6.687496985648462,0
36,51206.73,male,groupB,-0.5156741481783399,7.771144686436139,0
42,29487.66,female,groupB,-1.6706797428678364,0.8690263627191976,0
43,56703.74,female,groupA,0.16610037167714933,4.807141260919229,0
20,65897.22,male,groupA,0.7420311055884627,5.593420969905376,0
46,56109.97,male,groupC,-0.9174812247070011,5.965611424826738,0
26,46562.18,male,groupC,-0.3927710413015516,3.442542904927201,0
56,90335.61,male,groupA,1.386871695511654,5.66789783443865,0
53,36131.38,female,groupC,1.9884695472720948,3.3551377117936774,0
65,61601.77,female,groupC,0.8837051265612206,4.175448752799604,0
56,53649.11,female,groupA,-0.5000292081439186,6.086182837374502,0
37,80184.69,female,groupB,1.79569615749273,4.755261533668607,0
68,55801.25,female,groupB,0.5673641087692065,6.400942812220903,0
39,59017.33,male,groupB,-0.3448019673336651,1.991084165251067,0
34,57585.75,male,groupC,-0.576600621897993,4.925064991325615,0
65,34125.16,female,groupB,-2.245887209742519,4.1456698841444455,0
37,36966.79,female,groupA,1.754777598999088,5.983748673146456,0
21,45864.98,male,groupA,2.617332240740343,7.442765425379247,0
42,64360.74,female,groupB,-0.004409908300769711,9.026547069010151,0
59,53496.45,male,groupB,0.6600724309113419,5.992594616205253,0
27,46898.98,male,groupB,-0.0393953000283479,7.752471473083197,0
42,70583.0,male,groupC,0.2305065828494376,6.286893436472296,0
24,20263.55,female,groupC,-1.0604239473807617,3.848464403829506,0
53,30562.7,male,groupA,0.474699052396678,4.524565845844846,0
42,12551.0,male,groupC,1.9226930083734164,6.683811343626254,0
35,68124.66,female,groupA,-0.013722022693122764,6.568017070167691,0
29,48549.11,male,groupA,-0.31247335420872974,6.106996763261087,0
47,64494.38,male,groupB,1.1211057811327139,5.864557837423629,0
52,48361.13,male,groupC,-0.6539610049078742,6.249195271336894,0
66,65347.76,other,groupA,-0.27157487926322704,5.5950721174370734,0
40,48098.72,male,groupB,-0.3303314327443885,1.3831974866880876,0
